5UTR	mut	treatment	firefly	renilla
Abd-B-J1	mel	H2O	418491	1618
Abd-B-J1	mel	H2O	522639	3239
Abd-B-J1	mel	H2O	928272	2750
Abd-B-J1	mel	H2O	483252	1953
Abd-B-J1	mel	H2O	649514	2024
Abd-B-J1	mel	H2O	477805	1839
Abd-B-J1	mel	NaAsO2	388078	1727
Abd-B-J1	mel	NaAsO2	1292470	2523
Abd-B-J1	mel	NaAsO2	560869	1954
Abd-B-J1	mel	NaAsO2	896012	2676
Abd-B-J1	mel	NaAsO2	706138	1983
Abd-B-J1	mel	NaAsO2	694436	1969
Abd-B-J1	sim	H2O	719081	1973
Abd-B-J1	sim	H2O	1550400	4171
Abd-B-J1	sim	H2O	1745406	3722
Abd-B-J1	sim	H2O	1282755	3592
Abd-B-J1	sim	H2O	1735303	4122
Abd-B-J1	sim	H2O	1387634	5269
Abd-B-J1	sim	NaAsO2	863992	2759
Abd-B-J1	sim	NaAsO2	1251587	2907
Abd-B-J1	sim	NaAsO2	1574832	4300
Abd-B-J1	sim	NaAsO2	1897426	4281
Abd-B-J1	sim	NaAsO2	1463640	3318
Abd-B-J1	sim	NaAsO2	993211	2948
Abd-B-J1	yak	H2O	1033569	1047
Abd-B-J1	yak	H2O	1773267	991
Abd-B-J1	yak	H2O	2297139	1448
Abd-B-J1	yak	H2O	2063637	2093
Abd-B-J1	yak	H2O	1845748	1029
Abd-B-J1	yak	H2O	2189784	1590
Abd-B-J1	yak	NaAsO2	1783113	1046
Abd-B-J1	yak	NaAsO2	1430725	893
Abd-B-J1	yak	NaAsO2	1610664	1099
Abd-B-J1	yak	NaAsO2	1527478	663
Abd-B-J1	yak	NaAsO2	1067575	1476
Abd-B-J1	yak	NaAsO2	1589632	1077
Abd-B-J2	mel	H2O	377440	344396
Abd-B-J2	mel	H2O	722905	865752
Abd-B-J2	mel	H2O	788337	958736
Abd-B-J2	mel	H2O	452349	806275
Abd-B-J2	mel	H2O	543172	781654
Abd-B-J2	mel	H2O	644765	769527
Abd-B-J2	mel	NaAsO2	270448	584233
Abd-B-J2	mel	NaAsO2	340943	579249
Abd-B-J2	mel	NaAsO2	474950	901061
Abd-B-J2	mel	NaAsO2	261235	244442
Abd-B-J2	mel	NaAsO2	592246	828959
Abd-B-J2	mel	NaAsO2	586565	571487
Abd-B-J2	sim	H2O	514104	414506
Abd-B-J2	sim	H2O	613433	795782
Abd-B-J2	sim	H2O	656215	1054777
Abd-B-J2	sim	H2O	1456933	1611843
Abd-B-J2	sim	H2O	550375	954596
Abd-B-J2	sim	H2O	553489	1050405
Abd-B-J2	sim	NaAsO2	397451	751111
Abd-B-J2	sim	NaAsO2	527629	910392
Abd-B-J2	sim	NaAsO2	683499	700788
Abd-B-J2	sim	NaAsO2	1075224	1101443
Abd-B-J2	sim	NaAsO2	508814	450605
Abd-B-J2	sim	NaAsO2	866334	794355
Abd-B-J2	yak	H2O	453930	560652
Abd-B-J2	yak	H2O	464057	682082
Abd-B-J2	yak	H2O	392999	632840
Abd-B-J2	yak	H2O	500154	782683
Abd-B-J2	yak	H2O	479524	726152
Abd-B-J2	yak	H2O	292703	989824
Abd-B-J2	yak	NaAsO2	390810	563841
Abd-B-J2	yak	NaAsO2	371873	373483
Abd-B-J2	yak	NaAsO2	492303	635950
Abd-B-J2	yak	NaAsO2	495150	567969
Abd-B-J2	yak	NaAsO2	674559	735674
Abd-B-J2	yak	NaAsO2	512962	397854
