5UTR	mut	treatment	ID	target	ct
Abd-B-J1	mel	H2O	ISO1A1	Rluc	21.72429276
Abd-B-J1	mel	H2O	ISO1A2	Rluc	21.79788208
Abd-B-J1	mel	H2O	ISO1A3	Rluc	21.29036331
Abd-B-J1	mel	H2O	ISO1A4	Rluc	22.17217064
Abd-B-J1	mel	H2O	ISO1A5	Rluc	22.72699738
Abd-B-J1	mel	H2O	ISO1A6	Rluc	21.67396736
Abd-B-J1	yak	H2O	yakA1	Rluc	21.20889664
Abd-B-J1	yak	H2O	yakA2	Rluc	21.05909348
Abd-B-J1	yak	H2O	yakA3	Rluc	21.61120796
Abd-B-J1	yak	H2O	yakA4	Rluc	21.22139168
Abd-B-J1	yak	H2O	yakA5	Rluc	21.67977524
Abd-B-J1	yak	H2O	yakA6	Rluc	21.68697929
Abd-B-J1	mel	H2O	ISO1A1	Rluc	21.66063499
Abd-B-J1	mel	H2O	ISO1A2	Rluc	21.62501144
Abd-B-J1	mel	H2O	ISO1A3	Rluc	21.30226898
Abd-B-J1	mel	H2O	ISO1A4	Rluc	22.27329826
Abd-B-J1	mel	H2O	ISO1A5	Rluc	22.76360321
Abd-B-J1	mel	H2O	ISO1A6	Rluc	21.5599041
Abd-B-J1	yak	H2O	yakA1	Rluc	21.25646591
Abd-B-J1	yak	H2O	yakA2	Rluc	21.10455513
Abd-B-J1	yak	H2O	yakA3	Rluc	21.54719162
Abd-B-J1	yak	H2O	yakA4	Rluc	21.20635033
Abd-B-J1	yak	H2O	yakA5	Rluc	21.68650436
Abd-B-J1	yak	H2O	yakA6	Rluc	21.54081726
Abd-B-J1	mel	H2O	ISO1A1	fluc	20.89976311
Abd-B-J1	mel	H2O	ISO1A2	fluc	20.88318253
Abd-B-J1	mel	H2O	ISO1A3	fluc	20.5825367
Abd-B-J1	mel	H2O	ISO1A4	fluc	21.47236824
Abd-B-J1	mel	H2O	ISO1A5	fluc	21.71887589
Abd-B-J1	mel	H2O	ISO1A6	fluc	20.87425613
Abd-B-J1	yak	H2O	yakA1	fluc	20.43767929
Abd-B-J1	yak	H2O	yakA2	fluc	20.32110596
Abd-B-J1	yak	H2O	yakA3	fluc	20.76452446
Abd-B-J1	yak	H2O	yakA4	fluc	20.20241356
Abd-B-J1	yak	H2O	yakA5	fluc	20.76046371
Abd-B-J1	yak	H2O	yakA6	fluc	20.78722
Abd-B-J1	mel	H2O	ISO1A1	fluc	20.82200432
Abd-B-J1	mel	H2O	ISO1A3	fluc	20.57821655
Abd-B-J1	mel	H2O	ISO1A4	fluc	21.37133217
Abd-B-J1	mel	H2O	ISO1A5	fluc	21.92306519
Abd-B-J1	mel	H2O	ISO1A6	fluc	20.83698463
Abd-B-J1	yak	H2O	yakA1	fluc	20.47723961
Abd-B-J1	yak	H2O	yakA2	fluc	20.30440331
Abd-B-J1	yak	H2O	yakA3	fluc	20.70854759
Abd-B-J1	yak	H2O	yakA4	fluc	20.42152023
Abd-B-J1	yak	H2O	yakA5	fluc	20.62264061
Abd-B-J1	yak	H2O	yakA6	fluc	20.72561073
Abd-B-J1	sim	H2O	W501A1	Rluc	21.50462723
Abd-B-J1	sim	H2O	W501A2	Rluc	22.9438324
Abd-B-J1	sim	H2O	W501A3	Rluc	21.22541618
Abd-B-J1	sim	H2O	W501A4	Rluc	23.721735
Abd-B-J1	sim	H2O	W501A5	Rluc	21.28963661
Abd-B-J1	sim	H2O	W501A6	Rluc	21.66819572
Abd-B-J1	sim	H2O	W501A1	Rluc	21.50101471
Abd-B-J1	sim	H2O	W501A2	Rluc	22.43526459
Abd-B-J1	sim	H2O	W501A3	Rluc	21.16217232
Abd-B-J1	sim	H2O	W501A4	Rluc	23.58627701
Abd-B-J1	sim	H2O	W501A5	Rluc	21.2032814
Abd-B-J1	sim	H2O	W501A6	Rluc	21.73245239
Abd-B-J1	sim	H2O	W501A1	fluc	20.7781105
Abd-B-J1	sim	H2O	W501A2	fluc	22.02429771
Abd-B-J1	sim	H2O	W501A3	fluc	20.46231842
Abd-B-J1	sim	H2O	W501A4	fluc	22.81181526
Abd-B-J1	sim	H2O	W501A5	fluc	21.01990128
Abd-B-J1	sim	H2O	W501A6	fluc	20.94065285
Abd-B-J1	sim	H2O	W501A1	fluc	20.92703056
Abd-B-J1	sim	H2O	W501A2	fluc	21.67697525
Abd-B-J1	sim	H2O	W501A3	fluc	20.34168243
Abd-B-J1	sim	H2O	W501A4	fluc	23.09045982
Abd-B-J1	sim	H2O	W501A5	fluc	20.62096024
Abd-B-J1	sim	H2O	W501A6	fluc	21.01607704
Abd-B-J1	mel	NaAsO2	ISO1A-As1	Rluc	21.65916061
Abd-B-J1	mel	NaAsO2	ISO1A-As2	Rluc	21.63166237
Abd-B-J1	mel	NaAsO2	ISO1A-As3	Rluc	21.34812546
Abd-B-J1	mel	NaAsO2	ISO1A-As4	Rluc	22.67251778
Abd-B-J1	mel	NaAsO2	ISO1A-As5	Rluc	22.35390091
Abd-B-J1	mel	NaAsO2	ISO1A-As6	Rluc	21.16954613
Abd-B-J1	yak	NaAsO2	yakA-As1	Rluc	21.7642231
Abd-B-J1	yak	NaAsO2	yakA-As2	Rluc	21.43031693
Abd-B-J1	yak	NaAsO2	yakA-As3	Rluc	21.41807365
Abd-B-J1	yak	NaAsO2	yakA-As4	Rluc	21.25909615
Abd-B-J1	yak	NaAsO2	yakA-As5	Rluc	21.48299599
Abd-B-J1	yak	NaAsO2	yakA-As6	Rluc	20.94322777
Abd-B-J1	mel	NaAsO2	ISO1A-As1	Rluc	21.55146027
Abd-B-J1	mel	NaAsO2	ISO1A-As2	Rluc	21.64245796
Abd-B-J1	mel	NaAsO2	ISO1A-As3	Rluc	21.69590378
Abd-B-J1	mel	NaAsO2	ISO1A-As4	Rluc	22.83701897
Abd-B-J1	mel	NaAsO2	ISO1A-As5	Rluc	22.49149323
Abd-B-J1	mel	NaAsO2	ISO1A-As6	Rluc	21.5255909
Abd-B-J1	yak	NaAsO2	yakA-As1	Rluc	21.75587082
Abd-B-J1	yak	NaAsO2	yakA-As2	Rluc	21.58767319
Abd-B-J1	yak	NaAsO2	yakA-As3	Rluc	21.3475914
Abd-B-J1	yak	NaAsO2	yakA-As4	Rluc	21.40262222
Abd-B-J1	yak	NaAsO2	yakA-As5	Rluc	21.25884819
Abd-B-J1	yak	NaAsO2	yakA-As6	Rluc	20.7810421
Abd-B-J1	mel	NaAsO2	ISO1A-As1	fluc	20.65079308
Abd-B-J1	mel	NaAsO2	ISO1A-As2	fluc	20.7318306
Abd-B-J1	mel	NaAsO2	ISO1A-As3	fluc	20.69420433
Abd-B-J1	mel	NaAsO2	ISO1A-As4	fluc	21.80702972
Abd-B-J1	mel	NaAsO2	ISO1A-As5	fluc	21.45390892
Abd-B-J1	mel	NaAsO2	ISO1A-As6	fluc	20.79152679
Abd-B-J1	yak	NaAsO2	yakA-As1	fluc	20.66828156
Abd-B-J1	yak	NaAsO2	yakA-As2	fluc	20.38179016
Abd-B-J1	yak	NaAsO2	yakA-As3	fluc	20.4395752
Abd-B-J1	yak	NaAsO2	yakA-As4	fluc	20.0661602
Abd-B-J1	yak	NaAsO2	yakA-As5	fluc	20.42205429
Abd-B-J1	yak	NaAsO2	yakA-As6	fluc	19.64428329
Abd-B-J1	mel	NaAsO2	ISO1A-As1	fluc	20.68656921
Abd-B-J1	mel	NaAsO2	ISO1A-As3	fluc	20.76103973
Abd-B-J1	mel	NaAsO2	ISO1A-As4	fluc	21.77351952
Abd-B-J1	mel	NaAsO2	ISO1A-As5	fluc	21.49728012
Abd-B-J1	mel	NaAsO2	ISO1A-As6	fluc	20.71764374
Abd-B-J1	yak	NaAsO2	yakA-As1	fluc	20.80781555
Abd-B-J1	yak	NaAsO2	yakA-As2	fluc	20.40472221
Abd-B-J1	yak	NaAsO2	yakA-As3	fluc	20.35421181
Abd-B-J1	yak	NaAsO2	yakA-As4	fluc	20.24767303
Abd-B-J1	yak	NaAsO2	yakA-As5	fluc	20.43701363
Abd-B-J1	yak	NaAsO2	yakA-As6	fluc	19.51135826
Abd-B-J1	sim	NaAsO2	W501A-As1	Rluc	21.81629372
Abd-B-J1	sim	NaAsO2	W501A-As2	Rluc	21.9420166
Abd-B-J1	sim	NaAsO2	W501A-As3	Rluc	21.09634018
Abd-B-J1	sim	NaAsO2	W501A-As4	Rluc	21.49251938
Abd-B-J1	sim	NaAsO2	W501A-As5	Rluc	23.43985367
Abd-B-J1	sim	NaAsO2	W501A-As6	Rluc	21.19963837
Abd-B-J1	sim	NaAsO2	W501A-As1	Rluc	21.81728172
Abd-B-J1	sim	NaAsO2	W501A-As2	Rluc	21.15509033
Abd-B-J1	sim	NaAsO2	W501A-As3	Rluc	21.23060036
Abd-B-J1	sim	NaAsO2	W501A-As4	Rluc	21.54211617
Abd-B-J1	sim	NaAsO2	W501A-As5	Rluc	23.19948006
Abd-B-J1	sim	NaAsO2	W501A-As6	Rluc	21.11712074
Abd-B-J1	sim	NaAsO2	W501A-As1	fluc	20.80039978
Abd-B-J1	sim	NaAsO2	W501A-As2	fluc	20.80648804
Abd-B-J1	sim	NaAsO2	W501A-As3	fluc	20.27041054
Abd-B-J1	sim	NaAsO2	W501A-As4	fluc	20.40311813
Abd-B-J1	sim	NaAsO2	W501A-As5	fluc	23.10913086
Abd-B-J1	sim	NaAsO2	W501A-As6	fluc	20.24840546
Abd-B-J1	sim	NaAsO2	W501A-As1	fluc	20.94621086
Abd-B-J1	sim	NaAsO2	W501A-As2	fluc	20.14937973
Abd-B-J1	sim	NaAsO2	W501A-As3	fluc	20.09240341
Abd-B-J1	sim	NaAsO2	W501A-As4	fluc	20.62922859
Abd-B-J1	sim	NaAsO2	W501A-As5	fluc	22.63012886
Abd-B-J1	sim	NaAsO2	W501A-As6	fluc	20.31173706
Abd-B-J2	mel	H2O	ISO1B1	Rluc	20.99154472
Abd-B-J2	mel	H2O	ISO1B2	Rluc	20.60179329
Abd-B-J2	mel	H2O	ISO1B3	Rluc	20.98216438
Abd-B-J2	mel	H2O	ISO1B4	Rluc	22.10163307
Abd-B-J2	mel	H2O	ISO1B5	Rluc	20.69745636
Abd-B-J2	mel	H2O	ISO1B6	Rluc	20.8913784
Abd-B-J2	yak	H2O	YAKB1	Rluc	23.54585266
Abd-B-J2	yak	H2O	YAKB2	Rluc	21.72494125
Abd-B-J2	yak	H2O	YAKB3	Rluc	22.67660904
Abd-B-J2	yak	H2O	YAKB4	Rluc	21.52141762
Abd-B-J2	yak	H2O	YAKB5	Rluc	22.5328331
Abd-B-J2	yak	H2O	YAKB6	Rluc	22.37180328
Abd-B-J2	mel	H2O	ISO1B1	Rluc	20.93889618
Abd-B-J2	mel	H2O	ISO1B2	Rluc	20.42541504
Abd-B-J2	mel	H2O	ISO1B3	Rluc	20.97735023
Abd-B-J2	mel	H2O	ISO1B4	Rluc	21.93575859
Abd-B-J2	mel	H2O	ISO1B5	Rluc	20.71801758
Abd-B-J2	mel	H2O	ISO1B6	Rluc	20.75398445
Abd-B-J2	yak	H2O	YAKB1	Rluc	23.33435249
Abd-B-J2	yak	H2O	YAKB2	Rluc	21.64228058
Abd-B-J2	yak	H2O	YAKB3	Rluc	22.65368843
Abd-B-J2	yak	H2O	YAKB4	Rluc	21.62243271
Abd-B-J2	yak	H2O	YAKB5	Rluc	22.64171219
Abd-B-J2	yak	H2O	YAKB6	Rluc	22.25261688
Abd-B-J2	mel	H2O	ISO1B1	fluc	20.11286926
Abd-B-J2	mel	H2O	ISO1B2	fluc	19.65601158
Abd-B-J2	mel	H2O	ISO1B3	fluc	19.99253464
Abd-B-J2	mel	H2O	ISO1B4	fluc	20.98300362
Abd-B-J2	mel	H2O	ISO1B5	fluc	19.7578392
Abd-B-J2	mel	H2O	ISO1B6	fluc	19.79567337
Abd-B-J2	yak	H2O	YAKB1	fluc	23.007761
Abd-B-J2	yak	H2O	YAKB2	fluc	20.66491318
Abd-B-J2	yak	H2O	YAKB3	fluc	21.67316628
Abd-B-J2	yak	H2O	YAKB4	fluc	20.57389259
Abd-B-J2	yak	H2O	YAKB5	fluc	21.63719559
Abd-B-J2	yak	H2O	YAKB6	fluc	21.24681664
Abd-B-J2	mel	H2O	ISO1B1	fluc	20.19915581
Abd-B-J2	mel	H2O	ISO1B3	fluc	20.00087547
Abd-B-J2	mel	H2O	ISO1B4	fluc	20.71005821
Abd-B-J2	mel	H2O	ISO1B5	fluc	19.81442833
Abd-B-J2	mel	H2O	ISO1B6	fluc	19.74324226
Abd-B-J2	yak	H2O	YAKB1	fluc	23.04146194
Abd-B-J2	yak	H2O	YAKB2	fluc	20.68850899
Abd-B-J2	yak	H2O	YAKB3	fluc	21.59465408
Abd-B-J2	yak	H2O	YAKB4	fluc	20.60796356
Abd-B-J2	yak	H2O	YAKB5	fluc	21.58368683
Abd-B-J2	yak	H2O	YAKB6	fluc	21.19324684
Abd-B-J2	sim	H2O	w501B1	Rluc	21.35650635
Abd-B-J2	sim	H2O	w501B2	Rluc	21.94626617
Abd-B-J2	sim	H2O	w501B3	Rluc	21.52324295
Abd-B-J2	sim	H2O	w501B4	Rluc	21.78856087
Abd-B-J2	sim	H2O	w501B5	Rluc	21.96526909
Abd-B-J2	sim	H2O	w501B6	Rluc	21.72127724
Abd-B-J2	sim	H2O	w501B1	Rluc	21.3825531
Abd-B-J2	sim	H2O	w501B2	Rluc	21.14567375
Abd-B-J2	sim	H2O	w501B3	Rluc	21.54968452
Abd-B-J2	sim	H2O	w501B4	Rluc	21.74817467
Abd-B-J2	sim	H2O	w501B5	Rluc	21.84844971
Abd-B-J2	sim	H2O	w501B6	Rluc	21.69870949
Abd-B-J2	sim	H2O	w501B1	fluc	20.48753929
Abd-B-J2	sim	H2O	w501B2	fluc	21.13729286
Abd-B-J2	sim	H2O	w501B3	fluc	20.57260323
Abd-B-J2	sim	H2O	w501B4	fluc	20.83627129
Abd-B-J2	sim	H2O	w501B5	fluc	21.61797333
Abd-B-J2	sim	H2O	w501B6	fluc	20.75567245
Abd-B-J2	sim	H2O	w501B1	fluc	20.70387459
Abd-B-J2	sim	H2O	w501B2	fluc	20.39728737
Abd-B-J2	sim	H2O	w501B3	fluc	20.4144249
Abd-B-J2	sim	H2O	w501B4	fluc	21.02289009
Abd-B-J2	sim	H2O	w501B5	fluc	21.16717339
Abd-B-J2	sim	H2O	w501B6	fluc	20.82484245
Abd-B-J2	yak	NaAsO2	ISO1B-As1	Rluc	21.55189323
Abd-B-J2	yak	NaAsO2	ISO1B-As2	Rluc	20.39829826
Abd-B-J2	yak	NaAsO2	ISO1B-As3	Rluc	20.85387421
Abd-B-J2	yak	NaAsO2	ISO1B-As4	Rluc	20.38067436
Abd-B-J2	yak	NaAsO2	ISO1B-As5	Rluc	20.36818123
Abd-B-J2	yak	NaAsO2	ISO1B-As6	Rluc	19.96913528
Abd-B-J2	mel	NaAsO2	yakB-As1	Rluc	21.89147949
Abd-B-J2	mel	NaAsO2	yakB-As2	Rluc	22.3245697
Abd-B-J2	mel	NaAsO2	yakB-As3	Rluc	22.01329041
Abd-B-J2	mel	NaAsO2	yakB-As4	Rluc	21.94477272
Abd-B-J2	mel	NaAsO2	yakB-As5	Rluc	20.97907448
Abd-B-J2	mel	NaAsO2	yakB-As6	Rluc	21.41679192
Abd-B-J2	yak	NaAsO2	ISO1B-As1	Rluc	21.05466461
Abd-B-J2	yak	NaAsO2	ISO1B-As2	Rluc	20.51935196
Abd-B-J2	yak	NaAsO2	ISO1B-As3	Rluc	20.95189285
Abd-B-J2	yak	NaAsO2	ISO1B-As4	Rluc	20.59286118
Abd-B-J2	yak	NaAsO2	ISO1B-As5	Rluc	20.32766342
Abd-B-J2	yak	NaAsO2	ISO1B-As6	Rluc	19.83216476
Abd-B-J2	mel	NaAsO2	yakB-As1	Rluc	21.9188652
Abd-B-J2	mel	NaAsO2	yakB-As2	Rluc	22.46131706
Abd-B-J2	mel	NaAsO2	yakB-As3	Rluc	22.07579803
Abd-B-J2	mel	NaAsO2	yakB-As4	Rluc	22.15032959
Abd-B-J2	mel	NaAsO2	yakB-As5	Rluc	21.07450294
Abd-B-J2	mel	NaAsO2	yakB-As6	Rluc	21.20956993
Abd-B-J2	yak	NaAsO2	ISO1B-As1	fluc	19.98916817
Abd-B-J2	yak	NaAsO2	ISO1B-As2	fluc	19.30851936
Abd-B-J2	yak	NaAsO2	ISO1B-As3	fluc	19.80414391
Abd-B-J2	yak	NaAsO2	ISO1B-As4	fluc	19.33958054
Abd-B-J2	yak	NaAsO2	ISO1B-As5	fluc	18.99727058
Abd-B-J2	yak	NaAsO2	ISO1B-As6	fluc	18.66583824
Abd-B-J2	mel	NaAsO2	yakB-As1	fluc	20.71212959
Abd-B-J2	mel	NaAsO2	yakB-As2	fluc	21.20742607
Abd-B-J2	mel	NaAsO2	yakB-As3	fluc	20.81640244
Abd-B-J2	mel	NaAsO2	yakB-As4	fluc	20.79920387
Abd-B-J2	mel	NaAsO2	yakB-As5	fluc	19.84942055
Abd-B-J2	mel	NaAsO2	yakB-As6	fluc	19.98515701
Abd-B-J2	yak	NaAsO2	ISO1B-As1	fluc	20.12965012
Abd-B-J2	yak	NaAsO2	ISO1B-As3	fluc	19.79696655
Abd-B-J2	yak	NaAsO2	ISO1B-As4	fluc	19.2909584
Abd-B-J2	yak	NaAsO2	ISO1B-As5	fluc	19.27808571
Abd-B-J2	yak	NaAsO2	ISO1B-As6	fluc	18.62693024
Abd-B-J2	mel	NaAsO2	yakB-As1	fluc	20.71271896
Abd-B-J2	mel	NaAsO2	yakB-As2	fluc	21.25419998
Abd-B-J2	mel	NaAsO2	yakB-As3	fluc	20.75766945
Abd-B-J2	mel	NaAsO2	yakB-As4	fluc	20.87401962
Abd-B-J2	mel	NaAsO2	yakB-As5	fluc	19.83720398
Abd-B-J2	mel	NaAsO2	yakB-As6	fluc	19.88173103
Abd-B-J2	sim	NaAsO2	W501B-As1	Rluc	21.14388466
Abd-B-J2	sim	NaAsO2	W501B-As2	Rluc	21.94118309
Abd-B-J2	sim	NaAsO2	W501B-As3	Rluc	20.93808746
Abd-B-J2	sim	NaAsO2	W501B-As4	Rluc	20.84324074
Abd-B-J2	sim	NaAsO2	W501B-As5	Rluc	21.58584213
Abd-B-J2	sim	NaAsO2	W501B-As6	Rluc	20.93808174
Abd-B-J2	sim	NaAsO2	W501B-As1	Rluc	20.97801971
Abd-B-J2	sim	NaAsO2	W501B-As2	Rluc	21.01957512
Abd-B-J2	sim	NaAsO2	W501B-As3	Rluc	20.89530373
Abd-B-J2	sim	NaAsO2	W501B-As4	Rluc	21.1741333
Abd-B-J2	sim	NaAsO2	W501B-As5	Rluc	21.40297508
Abd-B-J2	sim	NaAsO2	W501B-As6	Rluc	20.89968681
Abd-B-J2	sim	NaAsO2	W501B-As1	fluc	20.11564636
Abd-B-J2	sim	NaAsO2	W501B-As2	fluc	20.63361549
Abd-B-J2	sim	NaAsO2	W501B-As3	fluc	19.69160461
Abd-B-J2	sim	NaAsO2	W501B-As4	fluc	19.69734573
Abd-B-J2	sim	NaAsO2	W501B-As5	fluc	20.98914528
Abd-B-J2	sim	NaAsO2	W501B-As6	fluc	19.65354347
Abd-B-J2	sim	NaAsO2	W501B-As1	fluc	20.23674202
Abd-B-J2	sim	NaAsO2	W501B-As2	fluc	19.88712883
Abd-B-J2	sim	NaAsO2	W501B-As3	fluc	19.51428413
Abd-B-J2	sim	NaAsO2	W501B-As4	fluc	19.99157524
Abd-B-J2	sim	NaAsO2	W501B-As5	fluc	20.35709572
Abd-B-J2	sim	NaAsO2	W501B-As6	fluc	19.74474525
