5UTR	mut	treatment	ID	target	ct
nrv3	mel	H2O	nrv3_mel1	Rluc	20.22371483
nrv3	mel	H2O	nrv3_mel2	Rluc	19.44496346
nrv3	mel	H2O	nrv3_mel3	Rluc	19.13434792
nrv3	mel	H2O	nrv3_mel4	Rluc	20.37498665
nrv3	mel	H2O	nrv3_mel5	Rluc	19.80387688
nrv3	mel	H2O	nrv3_mel6	Rluc	21.94429398
nrv3	yak	H2O	nrv3_yak1	Rluc	23.89279366
nrv3	yak	H2O	nrv3_yak2	Rluc	24.20888519
nrv3	yak	H2O	nrv3_yak3	Rluc	23.85282326
nrv3	yak	H2O	nrv3_yak4	Rluc	24.31295204
nrv3	yak	H2O	nrv3_yak5	Rluc	24.18269157
nrv3	yak	H2O	nrv3_yak6	Rluc	25.21955109
nrv3	mel	H2O	nrv3_mel1	Rluc	19.95971298
nrv3	mel	H2O	nrv3_mel2	Rluc	19.33878708
nrv3	mel	H2O	nrv3_mel3	Rluc	18.74179268
nrv3	mel	H2O	nrv3_mel4	Rluc	20.11212349
nrv3	mel	H2O	nrv3_mel5	Rluc	19.41915512
nrv3	mel	H2O	nrv3_mel6	Rluc	21.68994713
nrv3	yak	H2O	nrv3_yak1	Rluc	23.86707687
nrv3	yak	H2O	nrv3_yak2	Rluc	23.83578682
nrv3	yak	H2O	nrv3_yak3	Rluc	23.49504852
nrv3	yak	H2O	nrv3_yak4	Rluc	23.71937943
nrv3	yak	H2O	nrv3_yak5	Rluc	23.90625381
nrv3	yak	H2O	nrv3_yak6	Rluc	24.44581223
nrv3	mel	H2O	nrv3_mel1	fluc	19.59926796
nrv3	mel	H2O	nrv3_mel2	fluc	18.91093826
nrv3	mel	H2O	nrv3_mel3	fluc	18.64390182
nrv3	mel	H2O	nrv3_mel4	fluc	19.37046242
nrv3	mel	H2O	nrv3_mel5	fluc	19.03686523
nrv3	mel	H2O	nrv3_mel6	fluc	20.79427528
nrv3	yak	H2O	nrv3_yak1	fluc	23.13199806
nrv3	yak	H2O	nrv3_yak2	fluc	23.1072197
nrv3	yak	H2O	nrv3_yak3	fluc	22.59481049
nrv3	yak	H2O	nrv3_yak4	fluc	22.63240242
nrv3	yak	H2O	nrv3_yak5	fluc	22.99313164
nrv3	yak	H2O	nrv3_yak6	fluc	23.46916962
nrv3	mel	H2O	nrv3_mel1	fluc	19.91165161
nrv3	mel	H2O	nrv3_mel2	fluc	18.87814713
nrv3	mel	H2O	nrv3_mel3	fluc	18.40105629
nrv3	mel	H2O	nrv3_mel4	fluc	19.18026352
nrv3	mel	H2O	nrv3_mel5	fluc	18.90500641
nrv3	mel	H2O	nrv3_mel6	fluc	20.54071808
nrv3	yak	H2O	nrv3_yak1	fluc	23.33094597
nrv3	yak	H2O	nrv3_yak2	fluc	23.58254623
nrv3	yak	H2O	nrv3_yak3	fluc	22.57136726
nrv3	yak	H2O	nrv3_yak4	fluc	22.5892086
nrv3	yak	H2O	nrv3_yak5	fluc	22.97195816
nrv3	yak	H2O	nrv3_yak6	fluc	23.30360413
nrv3	sim	H2O	nrv3_sim1	Rluc	20.43027115
nrv3	sim	H2O	nrv3_sim2	Rluc	20.11649704
nrv3	sim	H2O	nrv3_sim3	Rluc	20.89242363
nrv3	sim	H2O	nrv3_sim4	Rluc	19.82113457
nrv3	sim	H2O	nrv3_sim5	Rluc	18.41580772
nrv3	sim	H2O	nrv3_sim6	Rluc	19.12639618
nrv3	sim	H2O	nrv3_sim1	Rluc	20.43889046
nrv3	sim	H2O	nrv3_sim2	Rluc	20.02378273
nrv3	sim	H2O	nrv3_sim3	Rluc	20.72477722
nrv3	sim	H2O	nrv3_sim4	Rluc	19.89389801
nrv3	sim	H2O	nrv3_sim5	Rluc	18.31069946
nrv3	sim	H2O	nrv3_sim6	Rluc	19.11245918
nrv3	sim	H2O	nrv3_sim1	fluc	19.95867538
nrv3	sim	H2O	nrv3_sim2	fluc	19.2923851
nrv3	sim	H2O	nrv3_sim3	fluc	19.91492081
nrv3	sim	H2O	nrv3_sim4	fluc	19.08059502
nrv3	sim	H2O	nrv3_sim5	fluc	18.4125824
nrv3	sim	H2O	nrv3_sim6	fluc	18.76071167
nrv3	sim	H2O	nrv3_sim1	fluc	19.95106125
nrv3	sim	H2O	nrv3_sim2	fluc	19.44896317
nrv3	sim	H2O	nrv3_sim3	fluc	19.99612045
nrv3	sim	H2O	nrv3_sim4	fluc	19.17006111
nrv3	sim	H2O	nrv3_sim5	fluc	18.9188385
nrv3	sim	H2O	nrv3_sim6	fluc	18.82169724
nrv3	mel	NaAsO2	nrv3_mel_As1	Rluc	21.67318726
nrv3	mel	NaAsO2	nrv3_mel_As2	Rluc	18.5333271
nrv3	mel	NaAsO2	nrv3_mel_As3	Rluc	20.96541023
nrv3	mel	NaAsO2	nrv3_mel_As4	Rluc	18.91710091
nrv3	mel	NaAsO2	nrv3_mel_As5	Rluc	18.92481422
nrv3	mel	NaAsO2	nrv3_mel_As6	Rluc	18.93199539
nrv3	yak	NaAsO2	nrv3_yak_As1	Rluc	25.94677162
nrv3	yak	NaAsO2	nrv3_yak_As2	Rluc	25.9486599
nrv3	yak	NaAsO2	nrv3_yak_As3	Rluc	26.86649323
nrv3	yak	NaAsO2	nrv3_yak_As4	Rluc	26.85918999
nrv3	yak	NaAsO2	nrv3_yak_As5	Rluc	26.40017891
nrv3	yak	NaAsO2	nrv3_yak_As6	Rluc	26.29176712
nrv3	mel	NaAsO2	nrv3_mel_As1	Rluc	21.71072769
nrv3	mel	NaAsO2	nrv3_mel_As2	Rluc	18.55067253
nrv3	mel	NaAsO2	nrv3_mel_As3	Rluc	20.84352112
nrv3	mel	NaAsO2	nrv3_mel_As4	Rluc	19.07135201
nrv3	mel	NaAsO2	nrv3_mel_As5	Rluc	18.82338142
nrv3	mel	NaAsO2	nrv3_mel_As6	Rluc	18.94272423
nrv3	yak	NaAsO2	nrv3_yak_As1	Rluc	26.01047707
nrv3	yak	NaAsO2	nrv3_yak_As2	Rluc	25.55268669
nrv3	yak	NaAsO2	nrv3_yak_As3	Rluc	26.84576416
nrv3	yak	NaAsO2	nrv3_yak_As4	Rluc	26.71134377
nrv3	yak	NaAsO2	nrv3_yak_As5	Rluc	26.42101097
nrv3	yak	NaAsO2	nrv3_yak_As6	Rluc	26.30889511
nrv3	mel	NaAsO2	nrv3_mel_As1	fluc	21.18655777
nrv3	mel	NaAsO2	nrv3_mel_As2	fluc	18.9897747
nrv3	mel	NaAsO2	nrv3_mel_As3	fluc	20.60321426
nrv3	mel	NaAsO2	nrv3_mel_As4	fluc	19.03582191
nrv3	mel	NaAsO2	nrv3_mel_As5	fluc	19.4257431
nrv3	mel	NaAsO2	nrv3_mel_As6	fluc	19.54357719
nrv3	yak	NaAsO2	nrv3_yak_As1	fluc	25.41844559
nrv3	yak	NaAsO2	nrv3_yak_As2	fluc	25.3020134
nrv3	yak	NaAsO2	nrv3_yak_As3	fluc	26.29079819
nrv3	yak	NaAsO2	nrv3_yak_As4	fluc	26.21004105
nrv3	yak	NaAsO2	nrv3_yak_As5	fluc	25.80374146
nrv3	yak	NaAsO2	nrv3_yak_As6	fluc	25.6358757
nrv3	mel	NaAsO2	nrv3_mel_As1	fluc	21.27772713
nrv3	mel	NaAsO2	nrv3_mel_As2	fluc	19.00430489
nrv3	mel	NaAsO2	nrv3_mel_As3	fluc	20.63095284
nrv3	mel	NaAsO2	nrv3_mel_As4	fluc	19.1104641
nrv3	mel	NaAsO2	nrv3_mel_As5	fluc	19.55999756
nrv3	mel	NaAsO2	nrv3_mel_As6	fluc	18.9151535
nrv3	yak	NaAsO2	nrv3_yak_As1	fluc	25.46318245
nrv3	yak	NaAsO2	nrv3_yak_As2	fluc	25.21074104
nrv3	yak	NaAsO2	nrv3_yak_As3	fluc	26.30234718
nrv3	yak	NaAsO2	nrv3_yak_As4	fluc	26.14271164
nrv3	yak	NaAsO2	nrv3_yak_As5	fluc	25.87797737
nrv3	yak	NaAsO2	nrv3_yak_As6	fluc	25.68685722
nrv3	sim	NaAsO2	nrv3_sim_As1	Rluc	23.00752831
nrv3	sim	NaAsO2	nrv3_sim_As2	Rluc	22.41337013
nrv3	sim	NaAsO2	nrv3_sim_As3	Rluc	22.74043655
nrv3	sim	NaAsO2	nrv3_sim_As4	Rluc	22.01787186
nrv3	sim	NaAsO2	nrv3_sim_As5	Rluc	22.68011665
nrv3	sim	NaAsO2	nrv3_sim_As6	Rluc	23.52340126
nrv3	sim	NaAsO2	nrv3_sim_As1	Rluc	22.8783474
nrv3	sim	NaAsO2	nrv3_sim_As2	Rluc	22.46657372
nrv3	sim	NaAsO2	nrv3_sim_As3	Rluc	22.77556419
nrv3	sim	NaAsO2	nrv3_sim_As4	Rluc	21.80422592
nrv3	sim	NaAsO2	nrv3_sim_As5	Rluc	22.56584167
nrv3	sim	NaAsO2	nrv3_sim_As6	Rluc	23.44571304
nrv3	sim	NaAsO2	nrv3_sim_As1	fluc	22.46769333
nrv3	sim	NaAsO2	nrv3_sim_As2	fluc	21.95477295
nrv3	sim	NaAsO2	nrv3_sim_As3	fluc	22.21065712
nrv3	sim	NaAsO2	nrv3_sim_As4	fluc	21.3188324
nrv3	sim	NaAsO2	nrv3_sim_As5	fluc	22.05495453
nrv3	sim	NaAsO2	nrv3_sim_As6	fluc	22.95283508
nrv3	sim	NaAsO2	nrv3_sim_As1	fluc	22.45452881
nrv3	sim	NaAsO2	nrv3_sim_As2	fluc	22.11002541
nrv3	sim	NaAsO2	nrv3_sim_As3	fluc	22.31934929
nrv3	sim	NaAsO2	nrv3_sim_As4	fluc	21.41319466
nrv3	sim	NaAsO2	nrv3_sim_As5	fluc	22.51572418
nrv3	sim	NaAsO2	nrv3_sim_As6	fluc	22.99256134
CG9933	mel	H2O	CG3399_mel1	Rluc	21.9462204
CG9933	mel	H2O	CG3399_mel2	Rluc	19.87901688
CG9933	mel	H2O	CG3399_mel3	Rluc	20.01631165
CG9933	mel	H2O	CG3399_mel4	Rluc	20.30197334
CG9933	mel	H2O	CG3399_mel5	Rluc	19.61037636
CG9933	mel	H2O	CG3399_mel6	Rluc	18.89493752
CG9933	yak	H2O	CG3399_yak1	Rluc	20.84183121
CG9933	yak	H2O	CG3399_yak2	Rluc	19.8458519
CG9933	yak	H2O	CG3399_yak3	Rluc	20.34276199
CG9933	yak	H2O	CG3399_yak4	Rluc	20.23234177
CG9933	yak	H2O	CG3399_yak5	Rluc	20.84265518
CG9933	yak	H2O	CG3399_yak6	Rluc	19.93022346
CG9933	mel	H2O	CG3399_mel1	Rluc	21.9635582
CG9933	mel	H2O	CG3399_mel2	Rluc	19.79249001
CG9933	mel	H2O	CG3399_mel3	Rluc	19.86228752
CG9933	mel	H2O	CG3399_mel4	Rluc	20.22188568
CG9933	mel	H2O	CG3399_mel5	Rluc	19.66454315
CG9933	mel	H2O	CG3399_mel6	Rluc	18.70113754
CG9933	yak	H2O	CG3399_yak1	Rluc	21.0998497
CG9933	yak	H2O	CG3399_yak2	Rluc	19.80386925
CG9933	yak	H2O	CG3399_yak3	Rluc	20.41945267
CG9933	yak	H2O	CG3399_yak4	Rluc	20.19077873
CG9933	yak	H2O	CG3399_yak5	Rluc	20.73946381
CG9933	yak	H2O	CG3399_yak6	Rluc	19.87529564
CG9933	mel	H2O	CG3399_mel1	fluc	21.64860725
CG9933	mel	H2O	CG3399_mel2	fluc	20.0398407
CG9933	mel	H2O	CG3399_mel3	fluc	19.97069931
CG9933	mel	H2O	CG3399_mel4	fluc	20.0879364
CG9933	mel	H2O	CG3399_mel5	fluc	19.87778473
CG9933	mel	H2O	CG3399_mel6	fluc	19.31373024
CG9933	yak	H2O	CG3399_yak1	fluc	20.90854836
CG9933	yak	H2O	CG3399_yak2	fluc	20.113657
CG9933	yak	H2O	CG3399_yak3	fluc	20.30516434
CG9933	yak	H2O	CG3399_yak4	fluc	20.23483849
CG9933	yak	H2O	CG3399_yak5	fluc	20.4983902
CG9933	yak	H2O	CG3399_yak6	fluc	20.06799126
CG9933	mel	H2O	CG3399_mel1	fluc	21.74847221
CG9933	mel	H2O	CG3399_mel2	fluc	20.11257935
CG9933	mel	H2O	CG3399_mel3	fluc	19.95249939
CG9933	mel	H2O	CG3399_mel4	fluc	20.13912201
CG9933	mel	H2O	CG3399_mel5	fluc	19.90538216
CG9933	mel	H2O	CG3399_mel6	fluc	19.25865936
CG9933	yak	H2O	CG3399_yak1	fluc	20.91985321
CG9933	yak	H2O	CG3399_yak2	fluc	20.11366844
CG9933	yak	H2O	CG3399_yak4	fluc	20.0832901
CG9933	yak	H2O	CG3399_yak5	fluc	20.53819656
CG9933	yak	H2O	CG3399_yak6	fluc	20.01563072
CG9933	sim	H2O	CG3399_sim1	Rluc	19.42826653
CG9933	sim	H2O	CG3399_sim2	Rluc	19.31046295
CG9933	sim	H2O	CG3399_sim3	Rluc	19.48960876
CG9933	sim	H2O	CG3399_sim4	Rluc	20.09466743
CG9933	sim	H2O	CG3399_sim5	Rluc	21.96140099
CG9933	sim	H2O	CG3399_sim6	Rluc	21.1345787
CG9933	sim	H2O	CG3399_sim1	Rluc	19.48854065
CG9933	sim	H2O	CG3399_sim2	Rluc	19.22251129
CG9933	sim	H2O	CG3399_sim3	Rluc	19.55224609
CG9933	sim	H2O	CG3399_sim4	Rluc	20.06007195
CG9933	sim	H2O	CG3399_sim5	Rluc	21.77878761
CG9933	sim	H2O	CG3399_sim6	Rluc	21.27820587
CG9933	sim	H2O	CG3399_sim1	fluc	19.89089775
CG9933	sim	H2O	CG3399_sim2	fluc	20.14236641
CG9933	sim	H2O	CG3399_sim3	fluc	19.8440609
CG9933	sim	H2O	CG3399_sim4	fluc	20.12866974
CG9933	sim	H2O	CG3399_sim5	fluc	21.52529144
CG9933	sim	H2O	CG3399_sim6	fluc	21.09986687
CG9933	sim	H2O	CG3399_sim1	fluc	19.91617012
CG9933	sim	H2O	CG3399_sim2	fluc	20.35343361
CG9933	sim	H2O	CG3399_sim3	fluc	19.91048622
CG9933	sim	H2O	CG3399_sim4	fluc	20.18662643
CG9933	sim	H2O	CG3399_sim5	fluc	21.92336655
CG9933	sim	H2O	CG3399_sim6	fluc	21.08973122
CG9933	mel	NaAsO2	CG3399_AS_mel1	Rluc	19.42541313
