5UTR	mut	treatment	firefly	renilla
Art4	mel	H2O	1241343	56109
Art4	mel	H2O	1343925	54190
Art4	mel	H2O	1220077	51304
Art4	mel	H2O	326456	17234
Art4	mel	H2O	1206973	49258
Art4	mel	H2O	1339441	52977
Art4	mel	NaAsO2	961752	52772
Art4	mel	NaAsO2	759536	32416
Art4	mel	NaAsO2	936822	36679
Art4	mel	NaAsO2	937567	37276
Art4	mel	NaAsO2	890557	37029
Art4	mel	NaAsO2	866791	31529
Art4	sim	H2O	1501154	93414
Art4	sim	H2O	1421952	92756
Art4	sim	H2O	1485179	86341
Art4	sim	H2O	1619811	96347
Art4	sim	H2O	1270578	85364
Art4	sim	H2O	1256337	67698
Art4	sim	NaAsO2	767471	43203
Art4	sim	NaAsO2	1123609	60676
Art4	sim	NaAsO2	1340661	73962
Art4	sim	NaAsO2	1080895	58897
Art4	sim	NaAsO2	863487	56366
Art4	sim	NaAsO2	223264	12030
Art4	yak	H2O	808778	46097
Art4	yak	H2O	767263	46983
Art4	yak	H2O	685528	41441
Art4	yak	H2O	624855	41971
Art4	yak	H2O	757204	46415
Art4	yak	H2O	828071	46984
Art4	yak	NaAsO2	477612	28507
Art4	yak	NaAsO2	625443	33692
Art4	yak	NaAsO2	575120	29765
Art4	yak	NaAsO2	568514	28858
Art4	yak	NaAsO2	373283	21613
Art4	yak	NaAsO2	501962	26462
CG9933	mel	H2O	2280038	132169
CG9933	mel	H2O	2469423	144681
CG9933	mel	H2O	1364869	77123
CG9933	mel	H2O	1790447	104279
CG9933	mel	H2O	1791014	92646
CG9933	mel	H2O	2066020	117105
CG9933	mel	NaAsO2	1190608	82375
CG9933	mel	NaAsO2	1929762	102228
CG9933	mel	NaAsO2	1942752	113458
CG9933	mel	NaAsO2	1511958	84847
CG9933	mel	NaAsO2	1495639	90264
CG9933	mel	NaAsO2	1742510	94059
CG9933	sim	H2O	1883183	128836
CG9933	sim	H2O	2761933	199683
CG9933	sim	H2O	1733827	118557
CG9933	sim	H2O	2432421	161257
CG9933	sim	H2O	1635326	109059
CG9933	sim	H2O	1824956	112108
CG9933	sim	NaAsO2	1659680	111820
CG9933	sim	NaAsO2	1421876	94478
CG9933	sim	NaAsO2	1710966	113892
CG9933	sim	NaAsO2	1692610	119702
CG9933	sim	NaAsO2	1645151	109283
CG9933	sim	NaAsO2	1974328	112021
CG9933	yak	H2O	956428	50814
CG9933	yak	H2O	1634945	94898
CG9933	yak	H2O	1209263	65667
CG9933	yak	H2O	1128613	67810
CG9933	yak	H2O	1489789	85383
CG9933	yak	H2O	827346	42296
CG9933	yak	NaAsO2	814377	45141
CG9933	yak	NaAsO2	662732	46337
CG9933	yak	NaAsO2	992062	67835
CG9933	yak	NaAsO2	968722	56655
CG9933	yak	NaAsO2	1638417	88604
CG9933	yak	NaAsO2	1750820	87539
nrv3	mel	H2O	319134	191502
nrv3	mel	H2O	315280	193107
nrv3	mel	H2O	374889	201086
nrv3	mel	H2O	380716	197176
nrv3	mel	H2O	195993	115582
nrv3	mel	H2O	478770	263012
nrv3	mel	NaAsO2	233316	117890
nrv3	mel	NaAsO2	155758	88000
nrv3	mel	NaAsO2	448228	262054
nrv3	mel	NaAsO2	448535	211804
nrv3	mel	NaAsO2	332699	116538
nrv3	sim	H2O	93943	85099
nrv3	sim	H2O	88913	115343
nrv3	sim	H2O	81855	78979
nrv3	sim	H2O	85007	86964
nrv3	sim	H2O	110524	151316
nrv3	sim	H2O	74038	58170
nrv3	sim	NaAsO2	57840	54192
nrv3	sim	NaAsO2	114831	60878
nrv3	sim	NaAsO2	114149	67371
nrv3	sim	NaAsO2	45808	32105
nrv3	sim	NaAsO2	103659	72804
nrv3	sim	NaAsO2	60914	38501
nrv3	yak	H2O	480927	313588
nrv3	yak	H2O	350161	169723
nrv3	yak	H2O	315718	205728
nrv3	yak	H2O	298510	190522
nrv3	yak	H2O	505299	299007
nrv3	yak	H2O	446863	230122
nrv3	yak	NaAsO2	315371	136614
nrv3	yak	NaAsO2	405784	238024
nrv3	yak	NaAsO2	423829	198767
nrv3	yak	NaAsO2	374569	217500
nrv3	yak	NaAsO2	293145	155536
nrv3	yak	NaAsO2	287917	131093
