5UTR	mut	treatment	ID	target	ct
fz	mel	H2O	fz-mel1	Rluc	23.94635963
fz	mel	H2O	fz-mel2	Rluc	23.16690254
fz	mel	H2O	fz-mel3	Rluc	23.36200142
fz	mel	H2O	fz-mel4	Rluc	24.12496567
fz	mel	H2O	fz-mel5	Rluc	23.38520622
fz	mel	H2O	fz-mel6	Rluc	23.22391891
fz	yak	H2O	fz-yak1	Rluc	23.046278
fz	yak	H2O	fz-yak2	Rluc	23.39096069
fz	yak	H2O	fz-yak3	Rluc	23.1418705
fz	yak	H2O	fz-yak4	Rluc	23.21870613
fz	yak	H2O	fz-yak5	Rluc	23.8932476
fz	yak	H2O	fz-yak6	Rluc	23.58317566
fz	mel	H2O	fz-mel2	Rluc	23.05920219
fz	mel	H2O	fz-mel3	Rluc	23.2359314
fz	mel	H2O	fz-mel4	Rluc	24.20203972
fz	mel	H2O	fz-mel5	Rluc	23.15780067
fz	mel	H2O	fz-mel6	Rluc	23.34967232
fz	yak	H2O	fz-yak1	Rluc	23.29468155
fz	yak	H2O	fz-yak2	Rluc	23.04002953
fz	yak	H2O	fz-yak3	Rluc	23.19692612
fz	yak	H2O	fz-yak4	Rluc	23.06101036
fz	yak	H2O	fz-yak5	Rluc	23.98733139
fz	yak	H2O	fz-yak6	Rluc	23.42838097
fz	mel	H2O	fz-mel1	fluc	23.19927979
fz	mel	H2O	fz-mel2	fluc	22.64658546
fz	mel	H2O	fz-mel3	fluc	22.72892761
fz	mel	H2O	fz-mel4	fluc	23.49679565
fz	mel	H2O	fz-mel5	fluc	22.96663094
fz	mel	H2O	fz-mel6	fluc	22.92577744
fz	yak	H2O	fz-yak1	fluc	22.63538551
fz	yak	H2O	fz-yak2	fluc	22.77882385
fz	yak	H2O	fz-yak3	fluc	22.64943504
fz	yak	H2O	fz-yak4	fluc	22.80613708
fz	yak	H2O	fz-yak5	fluc	23.10699654
fz	yak	H2O	fz-yak6	fluc	22.99280548
fz	mel	H2O	fz-mel1	fluc	23.33211517
fz	mel	H2O	fz-mel2	fluc	22.70800018
fz	mel	H2O	fz-mel3	fluc	22.74026299
fz	mel	H2O	fz-mel4	fluc	23.52288437
fz	mel	H2O	fz-mel5	fluc	23.00995255
fz	mel	H2O	fz-mel6	fluc	22.93990707
fz	yak	H2O	fz-yak1	fluc	22.73294067
fz	yak	H2O	fz-yak2	fluc	22.82517624
fz	yak	H2O	fz-yak3	fluc	22.703619
fz	yak	H2O	fz-yak4	fluc	22.75787544
fz	yak	H2O	fz-yak5	fluc	23.34850121
fz	yak	H2O	fz-yak6	fluc	22.94463921
fz	sim	H2O	fz-sim1	Rluc	23.84656906
fz	sim	H2O	fz-sim2	Rluc	23.30634499
fz	sim	H2O	fz-sim3	Rluc	23.33882904
fz	sim	H2O	fz-sim4	Rluc	23.95421982
fz	sim	H2O	fz-sim5	Rluc	23.64914322
fz	sim	H2O	fz-sim6	Rluc	23.26517487
fz	sim	H2O	fz-sim1	Rluc	23.85732841
fz	sim	H2O	fz-sim2	Rluc	23.29201889
fz	sim	H2O	fz-sim3	Rluc	23.41823769
fz	sim	H2O	fz-sim4	Rluc	23.68727112
fz	sim	H2O	fz-sim5	Rluc	23.695858
fz	sim	H2O	fz-sim6	Rluc	23.61795807
fz	sim	H2O	fz-sim1	fluc	23.36664772
fz	sim	H2O	fz-sim2	fluc	23.02688408
fz	sim	H2O	fz-sim3	fluc	23.12050247
fz	sim	H2O	fz-sim4	fluc	23.50120354
fz	sim	H2O	fz-sim5	fluc	23.39975166
fz	sim	H2O	fz-sim6	fluc	23.30803871
fz	sim	H2O	fz-sim1	fluc	23.40209007
fz	sim	H2O	fz-sim2	fluc	23.26252365
fz	sim	H2O	fz-sim3	fluc	23.27315712
fz	sim	H2O	fz-sim4	fluc	23.53002548
fz	sim	H2O	fz-sim5	fluc	23.91613579
fz	sim	H2O	fz-sim6	fluc	23.45792389
fz	mel	NaAsO2	fz-As-mel1	Rluc	23.64983368
fz	mel	NaAsO2	fz-As-mel2	Rluc	22.80800056
fz	mel	NaAsO2	fz-As-mel3	Rluc	23.6561451
fz	mel	NaAsO2	fz-As-mel4	Rluc	23.25112534
fz	mel	NaAsO2	fz-As-mel5	Rluc	23.91988945
fz	mel	NaAsO2	fz-As-mel6	Rluc	23.95353699
fz	yak	NaAsO2	fz-As-yak1	Rluc	23.24534035
fz	yak	NaAsO2	fz-As-yak2	Rluc	23.06159973
fz	yak	NaAsO2	fz-As-yak3	Rluc	22.97945786
fz	yak	NaAsO2	fz-As-yak4	Rluc	23.36337662
fz	yak	NaAsO2	fz-As-yak5	Rluc	23.58785439
fz	mel	NaAsO2	fz-As-mel1	Rluc	23.53475952
fz	mel	NaAsO2	fz-As-mel2	Rluc	23.30144119
fz	mel	NaAsO2	fz-As-mel3	Rluc	23.39571381
fz	mel	NaAsO2	fz-As-mel4	Rluc	23.49528122
fz	mel	NaAsO2	fz-As-mel5	Rluc	23.84087181
fz	mel	NaAsO2	fz-As-mel6	Rluc	23.71231461
fz	yak	NaAsO2	fz-As-yak1	Rluc	23.06448364
fz	yak	NaAsO2	fz-As-yak2	Rluc	22.9739666
fz	yak	NaAsO2	fz-As-yak3	Rluc	22.87671471
fz	yak	NaAsO2	fz-As-yak4	Rluc	23.37535858
fz	yak	NaAsO2	fz-As-yak5	Rluc	23.54403687
fz	mel	NaAsO2	fz-As-mel1	fluc	22.93374252
fz	mel	NaAsO2	fz-As-mel2	fluc	22.93775177
fz	mel	NaAsO2	fz-As-mel3	fluc	23.03433609
fz	mel	NaAsO2	fz-As-mel4	fluc	23.0591526
