5UTR	mut	treatment	firefly	renilla
Not1	mel	H2O	931350	513502
Not1	mel	H2O	1035070	705961
Not1	mel	H2O	811420	479341
Not1	mel	H2O	1188843	677711
Not1	mel	H2O	633860	448140
Not1	mel	H2O	742555	437202
Not1	mel	NaAsO2	101389	112750
Not1	mel	NaAsO2	176962	243455
Not1	mel	NaAsO2	266654	274788
Not1	mel	NaAsO2	307652	266718
Not1	mel	NaAsO2	205501	293300
Not1	mel	NaAsO2	261231	178105
Not1	sim	H2O	1058717	616288
Not1	sim	H2O	949006	545233
Not1	sim	H2O	753147	509617
Not1	sim	H2O	852027	579469
Not1	sim	H2O	429913	454209
Not1	sim	H2O	307624	427902
Not1	sim	NaAsO2	318098	218821
Not1	sim	NaAsO2	328900	326270
Not1	sim	NaAsO2	234899	281002
Not1	sim	NaAsO2	353442	246235
Not1	sim	NaAsO2	349189	275485
Not1	sim	NaAsO2	166030	80131
Not1	yak	H2O	85341	55718
Not1	yak	H2O	72023	153667
Not1	yak	H2O	133884	241325
Not1	yak	H2O	50388	117856
Not1	yak	H2O	61482	110772
Not1	yak	H2O	59377	122810
Not1	yak	NaAsO2	24366	19497
Not1	yak	NaAsO2	47169	45300
Not1	yak	NaAsO2	67532	102259
Not1	yak	NaAsO2	74094	43346
Not1	yak	NaAsO2	88657	152156
Not1	yak	NaAsO2	8584	22908
fz	mel	H2O	75978	30609
fz	mel	H2O	119400	51367
fz	mel	H2O	58604	24926
fz	mel	H2O	80486	33027
fz	mel	H2O	71014	30832
fz	mel	H2O	62768	26241
fz	mel	NaAsO2	60043	24631
fz	mel	NaAsO2	51036	21360
fz	mel	NaAsO2	44628	21284
fz	mel	NaAsO2	52574	23522
fz	mel	NaAsO2	36434	16477
fz	mel	NaAsO2	56481	19212
fz	sim	H2O	212488	104494
fz	sim	H2O	220013	111581
fz	sim	H2O	149080	83490
fz	sim	H2O	169631	82735
fz	sim	H2O	209124	113414
fz	sim	H2O	173391	82993
fz	sim	NaAsO2	71880	32388
fz	sim	NaAsO2	142985	70185
fz	sim	NaAsO2	133878	67384
fz	sim	NaAsO2	115553	51735
fz	sim	NaAsO2	95160	50445
fz	sim	NaAsO2	119978	51791
fz	yak	H2O	95594	38918
fz	yak	H2O	129383	58309
fz	yak	H2O	75216	39118
fz	yak	H2O	117332	57112
fz	yak	H2O	91963	47203
fz	yak	H2O	112495	50974
fz	yak	NaAsO2	61205	28208
fz	yak	NaAsO2	103092	53193
fz	yak	NaAsO2	71041	34725
fz	yak	NaAsO2	60497	29047
fz	yak	NaAsO2	75091	36716
fz	yak	NaAsO2	73679	33386
