5UTR	mut	treatment	ID	target	ct
CG17163	mel	H2O	CG17163-mel1	Rluc	23.78721619
CG17163	mel	H2O	CG17163-mel2	Rluc	22.84860802
CG17163	mel	H2O	CG17163-mel3	Rluc	23.80214691
CG17163	mel	H2O	CG17163-mel4	Rluc	24.81439781
CG17163	mel	H2O	CG17163-mel5	Rluc	24.5809288
CG17163	mel	H2O	CG17163-mel6	Rluc	23.88859177
CG17163	mel	NaAsO2	CG17163-As-mel1	Rluc	23.884655
CG17163	mel	NaAsO2	CG17163-As-mel2	Rluc	23.93554688
CG17163	mel	NaAsO2	CG17163-As-mel3	Rluc	23.77368927
CG17163	mel	NaAsO2	CG17163-As-mel4	Rluc	23.77193069
CG17163	mel	NaAsO2	CG17163-As-mel5	Rluc	23.71686363
CG17163	mel	NaAsO2	CG17163-As-mel6	Rluc	23.4221611
CG17163	mel	H2O	CG17163-mel1	Rluc	23.76667786
CG17163	mel	H2O	CG17163-mel2	Rluc	22.71472931
CG17163	mel	H2O	CG17163-mel3	Rluc	23.6281147
CG17163	mel	H2O	CG17163-mel4	Rluc	23.56819534
CG17163	mel	H2O	CG17163-mel5	Rluc	24.07686043
CG17163	mel	H2O	CG17163-mel6	Rluc	23.91773415
CG17163	mel	NaAsO2	CG17163-As-mel1	Rluc	23.83695602
CG17163	mel	NaAsO2	CG17163-As-mel2	Rluc	23.73574829
CG17163	mel	NaAsO2	CG17163-As-mel3	Rluc	23.57525635
CG17163	mel	NaAsO2	CG17163-As-mel4	Rluc	23.62890244
CG17163	mel	NaAsO2	CG17163-As-mel5	Rluc	23.57853508
CG17163	mel	NaAsO2	CG17163-As-mel6	Rluc	23.25160599
CG17163	mel	H2O	CG17163-mel1	fluc	22.53635979
CG17163	mel	H2O	CG17163-mel2	fluc	21.96863365
CG17163	mel	H2O	CG17163-mel3	fluc	22.70067596
CG17163	mel	H2O	CG17163-mel4	fluc	23.17872047
CG17163	mel	H2O	CG17163-mel5	fluc	23.37056541
CG17163	mel	H2O	CG17163-mel6	fluc	22.86887932
CG17163	mel	NaAsO2	CG17163-As-mel1	fluc	22.77124786
CG17163	mel	NaAsO2	CG17163-As-mel2	fluc	22.67280579
CG17163	mel	NaAsO2	CG17163-As-mel3	fluc	22.59558105
CG17163	mel	NaAsO2	CG17163-As-mel4	fluc	22.72148323
CG17163	mel	NaAsO2	CG17163-As-mel5	fluc	22.75221252
CG17163	mel	NaAsO2	CG17163-As-mel6	fluc	22.22141838
CG17163	mel	H2O	CG17163-mel1	fluc	22.53997803
CG17163	mel	H2O	CG17163-mel2	fluc	21.98309898
CG17163	mel	H2O	CG17163-mel3	fluc	22.69122314
CG17163	mel	H2O	CG17163-mel4	fluc	23.57627487
CG17163	mel	H2O	CG17163-mel5	fluc	23.41843224
CG17163	mel	H2O	CG17163-mel6	fluc	22.85031319
CG17163	mel	NaAsO2	CG17163-As-mel1	fluc	22.84253502
CG17163	mel	NaAsO2	CG17163-As-mel2	fluc	22.71546936
CG17163	mel	NaAsO2	CG17163-As-mel3	fluc	22.61865234
CG17163	mel	NaAsO2	CG17163-As-mel4	fluc	22.76759148
CG17163	mel	NaAsO2	CG17163-As-mel5	fluc	22.67689514
CG17163	mel	NaAsO2	CG17163-As-mel6	fluc	22.14102936
CG17163	sim	H2O	CG17163-sim1	Rluc	23.92201424
CG17163	sim	H2O	CG17163-sim2	Rluc	23.94882774
CG17163	sim	H2O	CG17163-sim3	Rluc	23.74046898
CG17163	sim	H2O	CG17163-sim4	Rluc	24.24669266
