5UTR	mut	treatment	firefly	renilla
Mtpalpha	mel	H2O	381613	313227
Mtpalpha	mel	H2O	521182	445041
Mtpalpha	mel	H2O	841990	768732
Mtpalpha	mel	H2O	554046	694835
Mtpalpha	mel	H2O	344368	277269
Mtpalpha	mel	H2O	560643	546145
Mtpalpha	mel	NaAsO2	228368	213146
Mtpalpha	mel	NaAsO2	472553	365238
Mtpalpha	mel	NaAsO2	302493	161185
Mtpalpha	mel	NaAsO2	564453	527951
Mtpalpha	mel	NaAsO2	327256	291267
Mtpalpha	mel	NaAsO2	168534	169462
Mtpalpha	sim	H2O	1004069	980102
Mtpalpha	sim	H2O	493598	705393
Mtpalpha	sim	H2O	683345	639392
Mtpalpha	sim	H2O	489153	1079362
Mtpalpha	sim	H2O	200370	383293
Mtpalpha	sim	H2O	344301	943958
Mtpalpha	sim	NaAsO2	116465	177347
Mtpalpha	sim	NaAsO2	341903	441318
Mtpalpha	sim	NaAsO2	179328	180850
Mtpalpha	sim	NaAsO2	612267	754099
Mtpalpha	sim	NaAsO2	285923	462355
Mtpalpha	sim	NaAsO2	235661	270972
Manf	mel	H2O	364355	119133
Manf	mel	H2O	425781	186282
Manf	mel	H2O	511453	164161
Manf	mel	H2O	495946	238340
Manf	mel	H2O	285514	143471
Manf	mel	H2O	299667	122720
Manf	mel	NaAsO2	434075	175472
Manf	mel	NaAsO2	436442	110403
Manf	mel	NaAsO2	312048	120189
Manf	mel	NaAsO2	526302	155959
Manf	mel	NaAsO2	312213	169165
Manf	sim	H2O	1038215	323181
Manf	sim	H2O	640205	255966
Manf	sim	H2O	763677	259394
Manf	sim	H2O	1720098	544817
Manf	sim	H2O	334013	237449
Manf	sim	H2O	508344	297906
Manf	sim	NaAsO2	249435	94738
Manf	sim	NaAsO2	558964	255626
Manf	sim	NaAsO2	379091	294255
Manf	sim	NaAsO2	493134	280081
Manf	sim	NaAsO2	346561	223453
CG17163	mel	H2O	648247	10149
CG17163	mel	H2O	719147	12109
CG17163	mel	H2O	647129	12270
CG17163	mel	H2O	583727	9066
CG17163	mel	H2O	711783	11732
CG17163	mel	H2O	754072	11228
CG17163	mel	NaAsO2	210196	3293
CG17163	mel	NaAsO2	597819	10120
CG17163	mel	NaAsO2	392110	5227
CG17163	mel	NaAsO2	358135	5274
CG17163	mel	NaAsO2	580345	7659
CG17163	mel	NaAsO2	339846	5094
CG17163	sim	H2O	969240	71137
CG17163	sim	H2O	1221025	77930
CG17163	sim	H2O	1389698	85705
CG17163	sim	H2O	289179	21413
CG17163	sim	H2O	1300225	76433
CG17163	sim	H2O	1313729	76201
CG17163	sim	NaAsO2	1021755	74460
CG17163	sim	NaAsO2	994240	73177
CG17163	sim	NaAsO2	870321	57324
CG17163	sim	NaAsO2	600967	44915
CG17163	sim	NaAsO2	631666	37902
CG17163	sim	NaAsO2	738033	41088
