5UTR	mut	treatment	ID	target	ct
Sdc	mel	H2O	sdc-mel1	Rluc	22.69128418
Sdc	mel	H2O	sdc-mel2	Rluc	23.06766319
Sdc	mel	H2O	sdc-mel3	Rluc	22.94544792
Sdc	mel	H2O	sdc-mel4	Rluc	23.55852318
Sdc	mel	H2O	sdc-mel5	Rluc	23.22480774
Sdc	mel	H2O	sdc-mel6	Rluc	23.63678169
Sdc	mel	NaAsO2	sdc-As-mel1	Rluc	23.06072998
Sdc	mel	NaAsO2	sdc-As-mel2	Rluc	23.08057976
Sdc	mel	NaAsO2	sdc-As-mel3	Rluc	22.85016441
Sdc	mel	NaAsO2	sdc-As-mel4	Rluc	23.35692596
Sdc	mel	NaAsO2	sdc-As-mel5	Rluc	23.27908897
Sdc	mel	NaAsO2	sdc-As-mel6	Rluc	22.95526886
Sdc	mel	H2O	sdc-mel1	Rluc	22.73990822
Sdc	mel	H2O	sdc-mel2	Rluc	22.98533249
Sdc	mel	H2O	sdc-mel3	Rluc	23.02908707
Sdc	mel	H2O	sdc-mel4	Rluc	23.24548531
Sdc	mel	H2O	sdc-mel5	Rluc	23.14413643
Sdc	mel	H2O	sdc-mel6	Rluc	23.47716904
Sdc	mel	NaAsO2	sdc-As-mel1	Rluc	23.17080879
Sdc	mel	NaAsO2	sdc-As-mel2	Rluc	22.83604431
Sdc	mel	NaAsO2	sdc-As-mel3	Rluc	23.05302238
Sdc	mel	NaAsO2	sdc-As-mel4	Rluc	23.44001389
Sdc	mel	NaAsO2	sdc-As-mel5	Rluc	23.17894745
Sdc	mel	NaAsO2	sdc-As-mel6	Rluc	22.95785904
Sdc	mel	H2O	sdc-mel1	fluc	22.02663231
Sdc	mel	H2O	sdc-mel2	fluc	22.45686531
Sdc	mel	H2O	sdc-mel3	fluc	22.49796677
Sdc	mel	H2O	sdc-mel4	fluc	22.82842827
Sdc	mel	H2O	sdc-mel5	fluc	22.66755486
Sdc	mel	H2O	sdc-mel6	fluc	22.96724319
Sdc	mel	NaAsO2	sdc-As-mel1	fluc	22.47257233
Sdc	mel	NaAsO2	sdc-As-mel2	fluc	22.37586021
Sdc	mel	NaAsO2	sdc-As-mel3	fluc	22.60856247
Sdc	mel	NaAsO2	sdc-As-mel4	fluc	22.84766769
Sdc	mel	NaAsO2	sdc-As-mel5	fluc	22.68443108
Sdc	mel	NaAsO2	sdc-As-mel6	fluc	22.46551895
Sdc	mel	H2O	sdc-mel1	fluc	22.09420776
Sdc	mel	H2O	sdc-mel2	fluc	22.47063637
Sdc	mel	H2O	sdc-mel3	fluc	22.5829277
Sdc	mel	H2O	sdc-mel4	fluc	22.84582901
Sdc	mel	H2O	sdc-mel5	fluc	22.65891075
Sdc	mel	H2O	sdc-mel6	fluc	22.98180199
Sdc	mel	NaAsO2	sdc-As-mel1	fluc	22.61284637
Sdc	mel	NaAsO2	sdc-As-mel2	fluc	22.46840477
Sdc	mel	NaAsO2	sdc-As-mel3	fluc	22.59653473
Sdc	mel	NaAsO2	sdc-As-mel4	fluc	22.9205513
Sdc	mel	NaAsO2	sdc-As-mel5	fluc	22.69142914
Sdc	mel	NaAsO2	sdc-As-mel6	fluc	22.43234062
Sdc	sim	H2O	sdc-sim2	Rluc	22.47378731
Sdc	sim	H2O	sdc-sim3	Rluc	22.32146454
Sdc	sim	H2O	sdc-sim4	Rluc	22.54515076
Sdc	sim	H2O	sdc-sim5	Rluc	22.45761681
Sdc	sim	H2O	sdc-sim6	Rluc	22.52130699
Sdc	sim	NaAsO2	sdc-As-sim1	Rluc	22.45607758
Sdc	sim	NaAsO2	sdc-As-sim2	Rluc	22.5585289
Sdc	sim	NaAsO2	sdc-As-sim3	Rluc	22.37240791
Sdc	sim	NaAsO2	sdc-As-sim4	Rluc	22.07343483
Sdc	sim	NaAsO2	sdc-As-sim5	Rluc	22.44641876
Sdc	sim	NaAsO2	sdc-As-sim6	Rluc	22.26569939
Sdc	sim	H2O	sdc-sim1	Rluc	22.50142288
Sdc	sim	H2O	sdc-sim2	Rluc	22.47963715
Sdc	sim	H2O	sdc-sim3	Rluc	22.45967865
Sdc	sim	H2O	sdc-sim4	Rluc	22.47621155
Sdc	sim	H2O	sdc-sim5	Rluc	22.50706863
Sdc	sim	H2O	sdc-sim6	Rluc	22.42084312
Sdc	sim	NaAsO2	sdc-As-sim1	Rluc	22.34555817
Sdc	sim	NaAsO2	sdc-As-sim2	Rluc	22.51894379
Sdc	sim	NaAsO2	sdc-As-sim3	Rluc	22.37299919
Sdc	sim	NaAsO2	sdc-As-sim4	Rluc	22.53814888
Sdc	sim	NaAsO2	sdc-As-sim5	Rluc	22.37347794
Sdc	sim	NaAsO2	sdc-As-sim6	Rluc	22.28924179
Sdc	sim	H2O	sdc-sim1	fluc	22.11417961
Sdc	sim	H2O	sdc-sim2	fluc	21.95417786
Sdc	sim	H2O	sdc-sim3	fluc	21.9563179
Sdc	sim	H2O	sdc-sim4	fluc	21.97562218
Sdc	sim	H2O	sdc-sim5	fluc	21.95378304
Sdc	sim	H2O	sdc-sim6	fluc	22.0342083
Sdc	sim	NaAsO2	sdc-As-sim1	fluc	21.91090202
Sdc	sim	NaAsO2	sdc-As-sim2	fluc	22.92039871
Sdc	sim	NaAsO2	sdc-As-sim3	fluc	21.86756516
Sdc	sim	NaAsO2	sdc-As-sim4	fluc	22.03391838
Sdc	sim	NaAsO2	sdc-As-sim5	fluc	21.96053314
Sdc	sim	NaAsO2	sdc-As-sim6	fluc	22.37179375
Sdc	sim	H2O	sdc-sim1	fluc	21.94761086
Sdc	sim	H2O	sdc-sim2	fluc	22.15280342
Sdc	sim	H2O	sdc-sim3	fluc	21.9549675
Sdc	sim	H2O	sdc-sim4	fluc	21.98159027
Sdc	sim	H2O	sdc-sim5	fluc	22.42082787
Sdc	sim	H2O	sdc-sim6	fluc	22.00849342
Sdc	sim	NaAsO2	sdc-As-sim1	fluc	21.92946434
Sdc	sim	NaAsO2	sdc-As-sim2	fluc	21.98267365
Sdc	sim	NaAsO2	sdc-As-sim3	fluc	21.97254181
Sdc	sim	NaAsO2	sdc-As-sim4	fluc	22.0565834
Sdc	sim	NaAsO2	sdc-As-sim5	fluc	22.04683685
Sdc	sim	NaAsO2	sdc-As-sim6	fluc	22.04177856
smg	mel	H2O	smg-mel1	Rluc	22.71539879
smg	mel	H2O	smg-mel2	Rluc	22.9494381
smg	mel	H2O	smg-mel3	Rluc	22.78401375
