5UTR	mut	treatment	firefly	renilla
smg	mel	H2O	1557656	1025596
smg	mel	H2O	1296003	913242
smg	mel	H2O	1284142	799777
smg	mel	H2O	1155367	739386
smg	mel	H2O	1525229	969878
smg	mel	H2O	1137475	753418
smg	mel	NaAsO2	739630	467197
smg	mel	NaAsO2	1069089	772305
smg	mel	NaAsO2	1034051	724037
smg	mel	NaAsO2	905577	638956
smg	mel	NaAsO2	1017890	675355
smg	mel	NaAsO2	920957	618614
smg	sim	H2O	2278432	1707629
smg	sim	H2O	2530244	1795656
smg	sim	H2O	2225212	1595904
smg	sim	H2O	1959657	1382672
smg	sim	H2O	2459471	1639950
smg	sim	H2O	2269046	1507974
smg	sim	NaAsO2	2049663	1473458
smg	sim	NaAsO2	2461227	1806134
smg	sim	NaAsO2	2543057	1972542
smg	sim	NaAsO2	2264574	1724565
smg	sim	NaAsO2	1752946	1176054
smg	sim	NaAsO2	2182890	1439344
grp	mel	H2O	879611	1462754
grp	mel	H2O	988473	1429814
grp	mel	H2O	785751	1224106
grp	mel	H2O	887100	1394810
grp	mel	H2O	629938	972556
grp	mel	H2O	972943	1522170
grp	mel	NaAsO2	686033	1070654
grp	mel	NaAsO2	632816	960981
grp	mel	NaAsO2	822377	1188382
grp	mel	NaAsO2	644593	983898
grp	mel	NaAsO2	772088	1134567
grp	mel	NaAsO2	551974	860927
grp	sim	H2O	1011278	1417087
grp	sim	H2O	848054	1215632
grp	sim	H2O	840555	1156655
grp	sim	H2O	1011953	1372620
grp	sim	H2O	707858	1082674
grp	sim	H2O	838127	1047364
grp	sim	NaAsO2	608931	838416
grp	sim	NaAsO2	871649	1203214
grp	sim	NaAsO2	833164	1121021
grp	sim	NaAsO2	526371	703673
grp	sim	NaAsO2	546768	791883
grp	sim	NaAsO2	756535	1050019
Sdc	mel	H2O	298222	57628
Sdc	mel	H2O	158938	29110
Sdc	mel	H2O	149402	30494
Sdc	mel	H2O	183929	28716
Sdc	mel	H2O	357410	64679
Sdc	mel	H2O	239508	37414
Sdc	mel	NaAsO2	135403	34315
Sdc	mel	NaAsO2	162347	31539
Sdc	mel	NaAsO2	222810	51140
Sdc	mel	NaAsO2	109750	16759
Sdc	mel	NaAsO2	267083	50190
Sdc	mel	NaAsO2	233608	34864
Sdc	sim	H2O	632713	200161
Sdc	sim	H2O	454928	109460
Sdc	sim	H2O	493094	116810
Sdc	sim	H2O	253065	61157
Sdc	sim	H2O	285674	45369
Sdc	sim	H2O	428982	88889
Sdc	sim	NaAsO2	436147	90962
Sdc	sim	NaAsO2	267600	56560
Sdc	sim	NaAsO2	374179	94895
Sdc	sim	NaAsO2	359145	91696
Sdc	sim	NaAsO2	190411	35119
Sdc	sim	NaAsO2	363241	55196
