branch2	gain	loss	total	gain_raio
D.mel	6008	419	6427	0.934806285981018
D.sim	2403	310	2713	0.88573534832289
D.sec	2400	856	3256	0.737100737100737
N18	2859	201	3060	0.934313725490196
N17	5784	336	6120	0.945098039215686
D.yak	7382	992	8374	0.881538094100788
D.ere	7653	838	8491	0.901307266517489
N19	3346	175	3521	0.950298210735587
N16	5784	497	6281	0.92087247253622
D.bia	7440	1799	9239	0.805281956921745
D.suz	7602	2313	9915	0.766717095310136
N20	4210	654	4864	0.865542763157895
N15	1647	239	1886	0.873276776246023
D.ana	7235	1475	8710	0.830654420206659
D.bip	7322	1007	8329	0.879097130507864
N21	7458	5055	12513	0.596020139055382
N14	179	1227	1406	0.127311522048364
D.eug	14771	683	15454	0.9558043225055
N13	485	576	1061	0.457115928369463
D.ele	13740	1068	14808	0.927876823338736
N12	1335	221	1556	0.857969151670951
D.kik	13377	4269	17646	0.758075484529072
N11	417	1043	1460	0.285616438356164
D.tak	11881	897	12778	0.929801220848333
N10	1131	221	1352	0.836538461538462
D.rho	11603	1242	12845	0.903308680420397
N9	1753	104	1857	0.943995691976306
D.fic	14101	179	14280	0.987464985994398
N8	7417	124	7541	0.983556557485745
D.pse	3267	418	3685	0.886567164179105
D.per	4376	617	4993	0.876426997796916
N23	2179	76	2255	0.96629711751663
D.mir	5710	121	5831	0.979248842394101
N22	12275	301	12576	0.976065521628499
N7	5264	9	5273	0.998293191731462
D.wil	16387	59	16446	0.996412501520127
N6	2059	2	2061	0.999029597282872
D.vir	12526	504	13030	0.961320030698388
D.moj	12221	679	12900	0.947364341085271
N26	4541	78	4619	0.983113227971422
D.alb	9423	835	10258	0.918600116981868
N25	710	30	740	0.959459459459459
D.gri	16600	28	16628	0.998316093336541
N24	2227	5	2232	0.997759856630824
N5	1960	4	1964	0.9979633401222
M.dom	4176	11	4187	0.9973728206353
N4	294	2	296	0.993243243243243
A.gam	2463	1	2464	0.999594155844156
N3	44	23	67	0.656716417910448
A.mel	2141	14	2155	0.993503480278422
N2	7	0	7	1
T.cas	3276	0	3276	1
