geno_pos	seqname	gene_pos	Kronja_mature_oocyte	Kronja_activated_egg	Samuels_GSC_AHS0	Samuels_GSC_AHS0.5	Samuels_GSC_AHS5	Samuels_GSC_AHS9	Samuels_GSC_AHS18	Samuels_GSC_AHS28	Samuels_GSC_AHS38	Douka_S2_UTD2	dmel_em_0_2h	dmel_em_2_6h	dmel_em_6_12h	dmel_em_12_24h	dmel_larva	dmel_pupa	dmel_female_body	dmel_male_body	dmel_female_head	dmel_male_head	Luo_S2_cell_ago2KD	Luo_S2_cell_ago2KD_serum_starvation	Luo_S2_cell_DMSO	Luo_S2_cell_dsNC	Luo_S2_cell_normal_starvation	Luo_S2_cell_rapamycin	Luo_S2_cell_serum_starvation	Luo_S2_cell_ssNC	Luo_S2_cell_T3	Luo_S2_cell_T6	Luo_S2_cell_T10	Dunn_em02	sum
2L_10002221	2L	10002221	1	6	1	0	1	0	0	0	0	0	34	5	1	0	0	0	4	0	0	0	13	7	0	8	0	0	0	7	9	5	6	41	149
2L_10002456	2L	10002456	1	6	0	1	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
2L_10002466	2L	10002466	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	6
2L_10002497	2L	10002497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10002511	2L	10002511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	1	0	0	0	6
2L_10002515	2L	10002515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10002521	2L	10002521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
2L_10002660	2L	10002660	0	0	0	0	2	1	0	1	0	0	3	1	0	0	0	0	0	1	0	0	0	3	1	0	1	0	1	1	2	3	2	0	23
2L_10009411	2L	10009411	2	3	2	0	0	0	0	5	0	0	1	0	0	4	0	3	3	3	0	1	12	28	3	8	7	3	1	2	12	5	1	7	116
2L_10009417	2L	10009417	2	0	9	2	1	2	1	2	0	0	1	0	0	0	0	0	1	1	2	0	0	1	0	0	0	0	0	2	0	0	1	6	34
2L_10010382	2L	10010382	1	0	5	12	6	4	7	4	6	0	3	3	13	33	3	16	26	76	18	7	15	38	5	1	0	14	3	2	12	8	0	0	341
2L_10017403	2L	10017403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10017459	2L	10017459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
2L_10137451	2L	10137451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10137464	2L	10137464	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
2L_10137504	2L	10137504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10137510	2L	10137510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10137519	2L	10137519	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2L_10145009	2L	10145009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	14
2L_10145029	2L	10145029	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
2L_10145116	2L	10145116	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
2L_10145166	2L	10145166	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
