trid	gene	dmel_tr_len	S2_tr_mRNA	S2_tr_mRNA_rpkm	S2_tr_rank
FBtr0005088	FBgn0260439	2411	7946.27207999999	200.576781237619	3
FBtr0006151	FBgn0000056	2080	9.76548000000004	0.285722668005309	2
FBtr0070000	FBgn0031081	3537	1.00011	0.0172078712034787	1
FBtr0070002	FBgn0031085	1226	0.17649	0.00876080612897574	1
FBtr0070003	FBgn0062565	1164	9.00069	0.470584112333765	1
FBtr0070006	FBgn0031089	1667	0.23532	0.00859088047520437	3
FBtr0070007	FBgn0031092	1131	1978.98214	106.486292527887	1
FBtr0070008	FBgn0031094	1094	630.726710000001	35.0863618288996	1
FBtr0070025	FBgn0000084	1244	4254.42983	208.130353359483	1
FBtr0070026	FBgn0031093	1883	1202.21006	38.8547818206734	1
FBtr0070027	FBgn0031091	2221	1544.16052	42.3114903455117	1
FBtr0070028	FBgn0031090	2635	4788.22514999997	110.588095970754	3
FBtr0070029	FBgn0041626	1164	2.45125	0.128158986184186	1
FBtr0070032	FBgn0031086	981	2.00022	0.124086117118663	1
FBtr0070034	FBgn0053517	4359	0	0	6
FBtr0070035	FBgn0031082	1129	0	0	1
FBtr0070036	FBgn0031080	611	0	0	1
FBtr0070038	FBgn0010215	3000	2968.13204999999	60.2110777043753	1
FBtr0070040	FBgn0052230	439	1080.01933	149.720560779791	2
FBtr0070041	FBgn0052230	379	1038.08104	166.688825236413	1
FBtr0070042	FBgn0264492	1536	2909.81193	115.289071432747	4
FBtr0070043	FBgn0264492	1561	2917.3061	113.734843380576	5
FBtr0070044	FBgn0264492	1423	2826.28965	120.872138238814	1
FBtr0070045	FBgn0053217	2227	292.870579999999	8.00331604335631	1
FBtr0070046	FBgn0052350	2844	418.877129999999	8.96337350779786	1
FBtr0070050	FBgn0052819	2191	0	0	1
FBtr0070051	FBgn0052819	2034	0	0	2
FBtr0070052	FBgn0052857	1059	0	0	1
FBtr0070053	FBgn0052820	2418	0	0	1
FBtr0070054	FBgn0052820	2034	0	0	2
FBtr0070055	FBgn0053502	1060	0	0	1
FBtr0070056	FBgn0040028	1838	0	0	3
FBtr0070057	FBgn0040028	1995	0	0	1
FBtr0070058	FBgn0027588	3132	5745.89149999999	111.647783187232	1
FBtr0070059	FBgn0027588	3252	5747.28264999999	107.553972606916	4
FBtr0070060	FBgn0027588	3228	5748.54977999999	108.377519622088	3
FBtr0070061	FBgn0027588	3264	5711.31022999999	106.487844886217	5
FBtr0070062	FBgn0027588	3129	5709.37532999999	111.044606085852	2
FBtr0070063	FBgn0040372	6538	902.608729999984	8.40173637369961	1
FBtr0070064	FBgn0000316	2054	830.905399999999	24.6187262410214	1
FBtr0070065	FBgn0000316	2110	836.822049999999	24.1359888622222	2
FBtr0070066	FBgn0024989	3352	232.394189999999	4.21925421693381	1
FBtr0070067	FBgn0024989	3376	229.951309999999	4.14522288296941	2
FBtr0070068	FBgn0024989	3402	229.951309999999	4.11354275511603	3
FBtr0070069	FBgn0040371	1055	5.33385000000003	0.307682485643787	1
FBtr0070070	FBgn0029521	1188	4.00037000000002	0.204926516631809	1
FBtr0070071	FBgn0004034	2038	22.0027000000002	0.657031565230822	1
FBtr0070072	FBgn0000022	917	0.23532	0.0156172276468546	1
FBtr0070073	FBgn0004170	1438	0	0	1
FBtr0070074	FBgn0002561	1097	0	0	1
FBtr0070075	FBgn0000137	2430	0.97823	0.0244990441718816	1
FBtr0070076	FBgn0029522	743	116.22981	9.52013596527899	2
FBtr0070077	FBgn0052817	532	13.1509	1.50438252485941	1
FBtr0070078	FBgn0029524	517	27.95192	3.29030031034505	1
FBtr0070079	FBgn0023536	2345	149.674399999999	3.88435680191005	1
FBtr0070080	FBgn0023534	1119	1.99995	0.10876858744947	1
FBtr0070081	FBgn0004648	5890	1194.81251000001	12.3452219742026	7
FBtr0070084	FBgn0004648	5904	1387.44232000001	14.3015472516203	2
FBtr0070085	FBgn0004648	3144	574.538949999986	11.1211929533795	9
FBtr0070086	FBgn0004648	3130	381.90914	7.42557607025974	11
FBtr0070087	FBgn0004648	5828	1194.81251000001	12.4765541228644	6
FBtr0070088	FBgn0023535	1243	272.212499999999	13.3275822785788	1
FBtr0070089	FBgn0024983	1689	884.35083	31.8646663232719	3
FBtr0070090	FBgn0024983	1790	893.85391	30.3898075694727	4
FBtr0070091	FBgn0260400	2505	359.8419	8.74215370217414	2
FBtr0070092	FBgn0023537	1950	3536.26455999999	110.363273610671	1
FBtr0070093	FBgn0023537	2123	3453.45153999999	98.9960369086674	2
FBtr0070094	FBgn0029525	4342	930.010329999998	13.035040660276	1
FBtr0070098	FBgn0266572	4142	1724.68512999999	25.3404405687211	1
FBtr0070099	FBgn0010019	2279	0.999940000000001	0.0267020160876983	1
FBtr0070100	FBgn0011822	1310	0	0	1
FBtr0070101	FBgn0052816	1805	43.5721799999997	1.46908363088761	2
FBtr0070102	FBgn0052816	1821	43.5721799999997	1.45617570222523	3
FBtr0070103	FBgn0040370	1492	27.0023000000001	1.10140329591496	1
FBtr0070106	FBgn0261446	1601	17.00099	0.646245179858456	2
FBtr0070107	FBgn0040373	1630	352.90622	13.1760776432491	1
FBtr0070108	FBgn0040373	1731	373.328279999999	13.1252703736237	2
FBtr0070109	FBgn0000108	5422	84.0039100000003	0.94287565968321	6
FBtr0070110	FBgn0261930	3033	0.52947	0.0106238855728232	1
FBtr0070115	FBgn0025640	1175	707.324920000001	36.6349437773129	1
FBtr0070116	FBgn0025635	2256	302.427600000007	8.15824539625113	2
FBtr0070117	FBgn0025635	2199	287.938200000005	7.96871863812647	3
FBtr0070118	FBgn0025635	2197	299.211560000007	8.28824820725062	1
FBtr0070119	FBgn0001341	3680	1044.21874	17.2686386210328	1
FBtr0070120	FBgn0003575	4901	1840.2715	22.8513380286416	2
FBtr0070121	FBgn0025634	1550	390.632369999999	15.3373725625316	1
FBtr0070122	FBgn0025638	696	1540.53248	134.70262420369	1
FBtr0070123	FBgn0025637	1087	2874.61389	160.94015398177	7
FBtr0070124	FBgn0025637	1472	3105.84307000001	128.406241755126	8
FBtr0070125	FBgn0025637	845	2851.46126	205.364420272471	2
FBtr0070126	FBgn0025637	935	3017.64543000001	196.413364620179	4
